name,version,license
"msgpackr-extract-darwin-arm64","3.0.4","UNKNOWN"
"msgpackr-extract-darwin-x64","3.0.4","UNKNOWN"
"msgpackr-extract-linux-arm","3.0.4","UNKNOWN"
"msgpackr-extract-linux-arm64","3.0.4","UNKNOWN"
"msgpackr-extract-linux-x64","3.0.4","UNKNOWN"
"msgpackr-extract-win32-x64","3.0.4","UNKNOWN"
"node-abort-controller","3.1.1","UNKNOWN"
"ioredis","6.0.0","UNKNOWN"
"commands","2.0.0","UNKNOWN"
"cluster-key-slot","1.1.1","UNKNOWN"
"denque","2.1.0","UNKNOWN"
"redis-errors","1.2.0","UNKNOWN"
"standard-as-callback","2.1.0","UNKNOWN"
"prom-client","15.1.3","UNKNOWN"
"tdigest","0.1.2","UNKNOWN"
"bintrees","1.0.2","UNKNOWN"
"prisma","6.19.3","UNKNOWN"
"config","6.19.3","UNKNOWN"
"c12","3.1.0","UNKNOWN"
"chokidar","4.0.3","UNKNOWN"
"readdirp","4.1.2","UNKNOWN"
"confbox","0.2.4","UNKNOWN"
"defu","6.1.7","UNKNOWN"
"dotenv","16.6.1","UNKNOWN"
"exsolve","1.1.1","UNKNOWN"
"giget","2.0.0","UNKNOWN"
"citty","0.1.6","UNKNOWN"
"consola","3.4.2","UNKNOWN"
"node-fetch-native","1.6.7","UNKNOWN"
"nypm","0.6.9","UNKNOWN"
"citty","0.2.2","UNKNOWN"
"ohash","2.0.11","UNKNOWN"
"perfect-debounce","1.0.0","UNKNOWN"
"pkg-types","2.3.1","UNKNOWN"
"rc9","2.1.2","UNKNOWN"
"destr","2.0.5","UNKNOWN"
"deepmerge-ts","7.1.5","UNKNOWN"
"effect","3.21.0","UNKNOWN"
"fast-check","3.23.2","UNKNOWN"
"pure-rand","6.1.0","UNKNOWN"
"empathic","2.0.0","UNKNOWN"
"engines","6.19.3","UNKNOWN"
"debug","6.19.3","UNKNOWN"
"engines-version","7.1.1-3.c2990dca591cba766e3b7ef5d9e8a84796e47ab7","UNKNOWN"
"fetch-engine","6.19.3","UNKNOWN"
"get-platform","6.19.3","UNKNOWN"
"client","6.19.3","UNKNOWN"
"mailparser","3.4.6","UNKNOWN"
"iconv-lite","0.6.3","UNKNOWN"
"safer-buffer","2.1.2","UNKNOWN"
"sanitize-html","2.16.1","UNKNOWN"
"htmlparser2","10.1.0","UNKNOWN"
"domelementtype","2.3.0","UNKNOWN"
"domhandler","5.0.3","UNKNOWN"
"domutils","3.2.2","UNKNOWN"
"dom-serializer","2.0.0","UNKNOWN"
"entities","4.5.0","UNKNOWN"
"entities","7.0.1","UNKNOWN"
"aws-sdk-client-mock","4.1.0","UNKNOWN"
"sinon","17.0.4","UNKNOWN"
"sinonjs__fake-timers","15.0.1","UNKNOWN"
"sinon","18.0.1","UNKNOWN"
"commons","3.0.1","UNKNOWN"
"type-detect","4.0.8","UNKNOWN"
"fake-timers","11.2.2","UNKNOWN"
"samsam","8.0.3","UNKNOWN"
"type-detect","4.1.0","UNKNOWN"
"diff","5.2.2","UNKNOWN"
"nise","6.1.5","UNKNOWN"
"fake-timers","15.4.0","UNKNOWN"
"just-extend","6.2.0","UNKNOWN"
"path-to-regexp","8.4.2","UNKNOWN"
"lib-storage","3.1105.0","UNKNOWN"
"buffer","5.6.0","UNKNOWN"
"base64-js","1.5.1","UNKNOWN"
"events","3.3.0","UNKNOWN"
"stream-browserify","3.0.0","UNKNOWN"
"inherits","2.0.4","UNKNOWN"
"readable-stream","3.6.2","UNKNOWN"
"string_decoder","1.3.0","UNKNOWN"
"safe-buffer","5.2.1","UNKNOWN"
"util-deprecate","1.0.2","UNKNOWN"
"s3-request-presigner","3.1105.0","UNKNOWN"
"mailparser","3.9.15","UNKNOWN"
"mailsplit","5.4.15","UNKNOWN"
"libbase64","1.3.0","UNKNOWN"
"libqp","2.1.1","UNKNOWN"
"encoding-japanese","2.2.0","UNKNOWN"
"he","1.2.0","UNKNOWN"
"html-to-text","10.0.0","UNKNOWN"
"plugin-htmlparser2","0.12.0","UNKNOWN"
"selderee","0.12.0","UNKNOWN"
"parseley","0.13.1","UNKNOWN"
"leac","0.7.0","UNKNOWN"
"peberminta","0.10.0","UNKNOWN"
"iconv-lite","0.7.3","UNKNOWN"
"libmime","5.4.2","UNKNOWN"
"linkify-it","5.0.2","UNKNOWN"
"uc.micro","2.1.0","UNKNOWN"
"nodemailer","9.0.5","UNKNOWN"
"punycode.js","2.3.1","UNKNOWN"
"tlds","1.261.0","UNKNOWN"
"sanitize-html","2.17.6","UNKNOWN"
"deepmerge","4.3.1","UNKNOWN"
"htmlparser2","12.0.0","UNKNOWN"
"domelementtype","3.0.0","UNKNOWN"
"domhandler","6.0.1","UNKNOWN"
"domutils","4.0.2","UNKNOWN"
"dom-serializer","3.1.1","UNKNOWN"
"entities","8.0.0","UNKNOWN"
"is-plain-object","5.0.0","UNKNOWN"
"launder","1.7.1","UNKNOWN"
"dayjs","1.11.21","UNKNOWN"
"parse-srcset","1.0.2","UNKNOWN"
"archiver","8.0.0","UNKNOWN"
"readdir-glob","1.1.5","UNKNOWN"
"pdfjs-dist","6.2.108","UNKNOWN"
"canvas","1.0.5","UNKNOWN"
"canvas-android-arm64","1.0.5","UNKNOWN"
"canvas-darwin-arm64","1.0.5","UNKNOWN"
"canvas-darwin-x64","1.0.5","UNKNOWN"
"canvas-linux-arm-gnueabihf","1.0.5","UNKNOWN"
"canvas-linux-arm64-gnu","1.0.5","UNKNOWN"
"canvas-linux-arm64-musl","1.0.5","UNKNOWN"
"canvas-linux-riscv64-gnu","1.0.5","UNKNOWN"
"canvas-linux-x64-gnu","1.0.5","UNKNOWN"
"canvas-linux-x64-musl","1.0.5","UNKNOWN"
"canvas-win32-arm64-msvc","1.0.5","UNKNOWN"
"canvas-win32-x64-msvc","1.0.5","UNKNOWN"
"archiver","8.0.0","UNKNOWN"
"async","3.2.6","UNKNOWN"
"buffer-crc32","1.0.0","UNKNOWN"
"is-stream","4.0.1","UNKNOWN"
"lazystream","1.0.1","UNKNOWN"
"readable-stream","2.3.8","UNKNOWN"
"core-util-is","1.0.3","UNKNOWN"
"isarray","1.0.0","UNKNOWN"
"process-nextick-args","2.0.1","UNKNOWN"
"safe-buffer","5.1.2","UNKNOWN"
"string_decoder","1.1.1","UNKNOWN"
"normalize-path","3.0.0","UNKNOWN"
"readable-stream","4.7.0","UNKNOWN"
"abort-controller","3.0.0","UNKNOWN"
"event-target-shim","5.0.1","UNKNOWN"
"buffer","6.0.3","UNKNOWN"
"process","0.11.10","UNKNOWN"
"readdir-glob","3.0.0","UNKNOWN"
"tar-stream","3.2.0","UNKNOWN"
"b4a","1.8.1","UNKNOWN"
"bare-fs","4.8.0","UNKNOWN"
"bare-events","2.9.1","UNKNOWN"
"bare-path","3.1.1","UNKNOWN"
"bare-stream","2.13.3","UNKNOWN"
"teex","1.0.1","UNKNOWN"
"bare-url","2.5.1","UNKNOWN"
"fast-fifo","1.3.2","UNKNOWN"
"streamx","2.28.0","UNKNOWN"
"events-universal","1.0.1","UNKNOWN"
"text-decoder","1.2.7","UNKNOWN"
"zip-stream","7.0.5","UNKNOWN"
"compress-commons","7.0.1","UNKNOWN"
"crc-32","1.2.2","UNKNOWN"
"crc32-stream","7.0.1","UNKNOWN"
"pdf-lib","1.17.1","UNKNOWN"
"standard-fonts","1.0.0","UNKNOWN"
"upng","1.0.1","UNKNOWN"
"pako","1.0.11","UNKNOWN"
"tslib","1.14.1","UNKNOWN"
"sharp","0.35.3","UNKNOWN"
"sharp-darwin-arm64","0.35.3","UNKNOWN"
"sharp-darwin-x64","0.35.3","UNKNOWN"
"sharp-freebsd-wasm32","0.35.3","UNKNOWN"
"sharp-wasm32","0.35.3","UNKNOWN"
"sharp-libvips-darwin-arm64","1.3.2","UNKNOWN"
"sharp-libvips-darwin-x64","1.3.2","UNKNOWN"
"sharp-libvips-linux-arm","1.3.2","UNKNOWN"
"sharp-libvips-linux-arm64","1.3.2","UNKNOWN"
"sharp-libvips-linux-ppc64","1.3.2","UNKNOWN"
"sharp-libvips-linux-riscv64","1.3.2","UNKNOWN"
"sharp-libvips-linux-s390x","1.3.2","UNKNOWN"
"sharp-libvips-linux-x64","1.3.2","UNKNOWN"
"sharp-libvips-linuxmusl-arm64","1.3.2","UNKNOWN"
"sharp-libvips-linuxmusl-x64","1.3.2","UNKNOWN"
"sharp-linux-arm","0.35.3","UNKNOWN"
"sharp-linux-arm64","0.35.3","UNKNOWN"
"sharp-linux-ppc64","0.35.3","UNKNOWN"
"sharp-linux-riscv64","0.35.3","UNKNOWN"
"sharp-linux-s390x","0.35.3","UNKNOWN"
"sharp-linux-x64","0.35.3","UNKNOWN"
"sharp-linuxmusl-arm64","0.35.3","UNKNOWN"
"sharp-linuxmusl-x64","0.35.3","UNKNOWN"
"sharp-webcontainers-wasm32","0.35.3","UNKNOWN"
"sharp-win32-arm64","0.35.3","UNKNOWN"
"sharp-win32-ia32","0.35.3","UNKNOWN"
"sharp-win32-x64","0.35.3","UNKNOWN"
"opensearch","3.6.0","UNKNOWN"
"aws4","1.13.2","UNKNOWN"
"hpagent","1.2.0","UNKNOWN"
"json11","2.0.2","UNKNOWN"
